Class;Data Name;Technology;Zone;GMT;Location;Source;Source date;Creator;Creation date;Validator;Validation date;Validation Status;Public data?;Comments
RandomValueData;_temperature;;BA;;temperature_BA_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;NL;;temperature_NL_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;SK;;temperature_SK_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;BG;;temperature_BG_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;LU;;temperature_LU_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;LT;;temperature_LT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;PT;;temperature_PT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;IT;;temperature_IT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;SI;;temperature_SI_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;GB;;temperature_GB_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;FI;;temperature_FI_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;PL;;temperature_PL_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;HR;;temperature_HR_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;RO;;temperature_RO_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;CH;;temperature_CH_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;RS;;temperature_RS_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;ME;;temperature_ME_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;NO;;temperature_NO_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;DE;;temperature_DE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;EE;;temperature_EE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;FR;;temperature_FR_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;MT;;temperature_MT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;SE;;temperature_SE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;CY;;temperature_CY_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;BE;;temperature_BE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;DK;;temperature_DK_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;LV;;temperature_LV_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;CZ;;temperature_CZ_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;HU;;temperature_HU_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;AT;;temperature_AT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;ES;;temperature_ES_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;IE;;temperature_IE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;GR;;temperature_GR_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperature;;MK;;temperature_MK_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;CZ;;temperatureDailyAverage_CZ_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;RS;;temperatureDailyAverage_RS_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;SI;;temperatureDailyAverage_SI_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;BG;;temperatureDailyAverage_BG_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;FR;;temperatureDailyAverage_FR_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;GB;;temperatureDailyAverage_GB_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;CH;;temperatureDailyAverage_CH_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;MT;;temperatureDailyAverage_MT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;NO;;temperatureDailyAverage_NO_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;SK;;temperatureDailyAverage_SK_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;CY;;temperatureDailyAverage_CY_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;DE;;temperatureDailyAverage_DE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;SE;;temperatureDailyAverage_SE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;NL;;temperatureDailyAverage_NL_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;LT;;temperatureDailyAverage_LT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;LU;;temperatureDailyAverage_LU_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;FI;;temperatureDailyAverage_FI_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;EE;;temperatureDailyAverage_EE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;ES;;temperatureDailyAverage_ES_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;ME;;temperatureDailyAverage_ME_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;MK;;temperatureDailyAverage_MK_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;BE;;temperatureDailyAverage_BE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;GR;;temperatureDailyAverage_GR_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;AT;;temperatureDailyAverage_AT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;LV;;temperatureDailyAverage_LV_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;PT;;temperatureDailyAverage_PT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;IT;;temperatureDailyAverage_IT_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;HR;;temperatureDailyAverage_HR_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;BA;;temperatureDailyAverage_BA_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;RO;;temperatureDailyAverage_RO_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;HU;;temperatureDailyAverage_HU_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;DK;;temperatureDailyAverage_DK_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;PL;;temperatureDailyAverage_PL_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
RandomValueData;_temperatureDailyAverage;;IE;;temperatureDailyAverage_IE_emhires.csv;REF16_2030,EUCO30_2030;Artelys;;;;;;;
